PubMedID,Title,Publication Date,Authors,Affiliations,Corresponding Author Email
40066692,Factors influencing vaccine hesitancy among United Kingdom adolescents in a senior high school environment and actions to address it.,2025-Dec,Francis Drobniewski; Marcia Ashmi; Raheelah Ahmad; Changchunzi He; Marianna Bogdanova; Alan Garbacz; Ahmed Moustafa,"Department of Infectious Diseases, Faculty of Medicine, Imperial College London, London, UK.; Department of Infectious Diseases, Faculty of Medicine, Imperial College London, London, UK.; Division of Health Services Research and Management, School of Health Sciences, City, University of London, London, UK.; Department of Infectious Diseases, Faculty of Medicine, Imperial College London, London, UK.; Sixth Form Department, Townley Grammar School, Bexleyheath, UK.; Sixth Form Department, Townley Grammar School, Bexleyheath, UK.; Sixth Form Department, Townley Grammar School, Bexleyheath, UK.",N/A
40066274,"Addressing the global challenge of bacterial drug resistance: insights, strategies, and future directions.",2025,Arun Karnwal; Amar Yasser Jassim; Ameer Abbas Mohammed; Abdel Rahman Mohammad Said Al-Tawaha; Manickam Selvaraj; Tabarak Malik,"Department of Microbiology, Graphic Era (Deemed to be University), Dehradun, India.; Department of Marine Vertebrate, Marine Science Center, University of Basrah, Basrah, Iraq.; Department of Marine Vertebrate, Marine Science Center, University of Basrah, Basrah, Iraq.; Department of Biological Sciences, Al Hussein Bin Talal University Ma'an, Ma'an, Jordan.; Department of Chemistry, Faculty of Science, King Khalid University, Abha, Saudi Arabia.; Department of Biomedical Sciences, Institute of Health, Jimma University, Jimma, Ethiopia.",N/A
40065712,Neutralizing Activity and T-Cell Responses Against Wild Type SARS-CoV-2 Virus and Omicron BA.5 Variant After Ancestral SARS-CoV-2 Vaccine Booster Dose in PLWH Receiving ART Based on CD4 T-Cell Count.,2025-Mar-10,Na Young Ha; Ah-Ra Kim; Hyeongseok Jeong; Shinhye Cheon; Cho Rong Park; Jin Ho Choe; Hyo Jung Kim; Jae Won Yoon; Miryoung Kim; Mi Yeong An; Sukyoung Jung; Hyeon Nam Do; Junewoo Lee; Yeon-Sook Kim,"Emerging Infectious Diseases Research Institute, Chungnam National University Hospital, Daejeon, Korea.; Division of Clinical Research for Vaccine, Center for Vaccine Research, Korea National Institute of Infectious Diseases, Cheongju, Korea.; Emerging Infectious Diseases Research Institute, Chungnam National University Hospital, Daejeon, Korea.; Emerging Infectious Diseases Research Institute, Chungnam National University Hospital, Daejeon, Korea.; Emerging Infectious Diseases Research Institute, Chungnam National University Hospital, Daejeon, Korea.; Emerging Infectious Diseases Research Institute, Chungnam National University Hospital, Daejeon, Korea.; Emerging Infectious Diseases Research Institute, Chungnam National University Hospital, Daejeon, Korea.; Emerging Infectious Diseases Research Institute, Chungnam National University Hospital, Daejeon, Korea.; Emerging Infectious Diseases Research Institute, Chungnam National University Hospital, Daejeon, Korea.; Emerging Infectious Diseases Research Institute, Chungnam National University Hospital, Daejeon, Korea.; Department of Health Care Policy Research, Korea Institute for Health and Social Affairs, Sejong, Korea.; Division of Clinical Research for Vaccine, Center for Vaccine Research, Korea National Institute of Infectious Diseases, Cheongju, Korea.; Division of Clinical Research for Vaccine, Center for Vaccine Research, Korea National Institute of Infectious Diseases, Cheongju, Korea.; Emerging Infectious Diseases Research Institute, Chungnam National University Hospital, Daejeon, Korea.",N/A
40065223,Comparative study of stigma and discrimination among vaccinated and non-vaccinated COVID-19 survivors in Bangladesh.,2025-Mar-10,Tamanna Rashid; Shamsul Arefin; Mowsume Bhattacharjee; Ashraful Islam,"Department of Sociology, University of Massachusetts, Amherst, 200 Hicks Way, Thompson Hall, Amherst, MA, 01003, USA.; Department of Sociology, University of Massachusetts, Amherst, 200 Hicks Way, Thompson Hall, Amherst, MA, 01003, USA. shams.rehan@gstu.edu.bd.; Department of Sociology, Jagannath University, Dhaka, 1100, Bangladesh.; Department of Sociology, University of Dhaka, Dhaka, 1000, Bangladesh.",shams.rehan@gstu.edu.bd
40065113,Bacterial lysates in modifying sIgA levels in the upper respiratory tract in COVID-19 patients.,2025-Mar-10,Mikhail Kostinov; Alexander Chuchalin; Oksana Svitich; Viliya Gaynitdinova; Kirill Mashilov; Nadezhda Kryukova; Valerij Osiptsov; Vitalij Tatevosov; Ekaterina Khromova; Irina Baranova; Anna Vlasenko; Ludmila Shogenova; Irina Mekhantseva; Izabella Khrapunova; Andrey Linok; Anton Kostinov; Valentina Polishchuk; Arseniy Poddubikov,"I. Mechnikov Research Institute of Vaccines and Sera, Moscow, Russian Federation.; Pirogov Russian National Research Medical University, Moscow, Russian Federation.; I. Mechnikov Research Institute of Vaccines and Sera, Moscow, Russian Federation.; I.M. Sechenov First Moscow State Medical University, Moscow, Russian Federation.; I. Mechnikov Research Institute of Vaccines and Sera, Moscow, Russian Federation.; Pirogov Russian National Research Medical University, Moscow, Russian Federation. kryukovanadia@gmail.com.; Main Military Clinical Hospital of the Troops of the National Guard of the Russian Federation, Moscow, Russian Federation.; Main Military Clinical Hospital of the Troops of the National Guard of the Russian Federation, Moscow, Russian Federation.; I. Mechnikov Research Institute of Vaccines and Sera, Moscow, Russian Federation.; Pirogov Russian National Research Medical University, Moscow, Russian Federation.; Novokuznetsk State Institute for Advanced Training of Physicians, Branch Campus of the Russian Medical Academy of Continuous Professional Education, Novokuznetsk, Russian Federation.; Pirogov Russian National Research Medical University, Moscow, Russian Federation.; Karaganda Medical University, Karaganda, Kazakhstan.; I. Mechnikov Research Institute of Vaccines and Sera, Moscow, Russian Federation.; I.M. Sechenov First Moscow State Medical University, Moscow, Russian Federation.; I.M. Sechenov First Moscow State Medical University, Moscow, Russian Federation.; I. Mechnikov Research Institute of Vaccines and Sera, Moscow, Russian Federation.; I.M. Sechenov First Moscow State Medical University, Moscow, Russian Federation.",kryukovanadia@gmail.com
40064011,Health Literacy and Acceptance of COVID-19 Preventive Measures and Vaccination in the European Union: A Scoping Review.,2025-Jan,Evridiki Vasileia; George Koulierakis; Theodoros Fouskas; Angeliki Liarigkovinou,,N/A
40063941,Beliefs in Misinformation About COVID-19 and the Russian Invasion of Ukraine Are Linked: Evidence From a Nationally Representative Survey Study.,2025-Mar-10,Dominika Grygarová; Marek Havlík; Petr Adámek; Jiří Horáček; Veronika Juríčková; Jaroslav Hlinka; Ladislav Kesner,"Center for Advanced Studies of Brain and Consciousness, National Institute of Mental Health, Klecany, Czech Republic.; Center for Advanced Studies of Brain and Consciousness, National Institute of Mental Health, Klecany, Czech Republic.; Center for Advanced Studies of Brain and Consciousness, National Institute of Mental Health, Klecany, Czech Republic.; Center for Advanced Studies of Brain and Consciousness, National Institute of Mental Health, Klecany, Czech Republic.; Center for Advanced Studies of Brain and Consciousness, National Institute of Mental Health, Klecany, Czech Republic.; Center for Advanced Studies of Brain and Consciousness, National Institute of Mental Health, Klecany, Czech Republic.; Center for Advanced Studies of Brain and Consciousness, National Institute of Mental Health, Klecany, Czech Republic.",N/A
40063297,Explaining Racial and Ethnic Inequities in SARS-CoV-2-Related Outcomes: Results from a Serosurvey in Chicago.,2025-Mar-10,Christopher A Eyo; Joshua M Schrock; Christina Hayford; Daniel T Ryan; Rana Saber; Nanette Benbow; Michael E Newcomb; Alexis R Demonbreun; Elizabeth M McNally; Richard T D'Aquila; Thomas W McDade; Brian Mustanski,"Institute for Sexual and Gender Minority Health and Wellbeing, Northwestern University, 625 N Michigan Ave, Chicago, IL, 60611, USA.; Institute for Sexual and Gender Minority Health and Wellbeing, Northwestern University, 625 N Michigan Ave, Chicago, IL, 60611, USA.; Third Coast Center for AIDS Research, Northwestern University, Chicago, IL, USA.; Institute for Sexual and Gender Minority Health and Wellbeing, Northwestern University, 625 N Michigan Ave, Chicago, IL, 60611, USA.; Institute for Sexual and Gender Minority Health and Wellbeing, Northwestern University, 625 N Michigan Ave, Chicago, IL, 60611, USA.; Department of Psychiatry and Behavioral Sciences, Northwestern University Feinberg School of Medicine, Chicago, IL, USA.; Institute for Sexual and Gender Minority Health and Wellbeing, Northwestern University, 625 N Michigan Ave, Chicago, IL, 60611, USA.; Center for Genetic Medicine, Northwestern University, Chicago, IL, USA.; Center for Genetic Medicine, Northwestern University, Chicago, IL, USA.; Division of Infectious Diseases, Dept. of Medicine, Northwestern University Feinberg School of Medicine, Chicago, IL, USA.; Department of Anthropology, Northwestern University, Evanston, IL, USA.; Institute for Sexual and Gender Minority Health and Wellbeing, Northwestern University, 625 N Michigan Ave, Chicago, IL, 60611, USA. brian@northwestern.edu.",brian@northwestern.edu
40063213,Comparative Effectiveness of mRNA-1273 and BNT162b2 COVID-19 Vaccines Among Adults with Underlying Medical Conditions: Systematic Literature Review and Pairwise Meta-Analysis Using GRADE.,2025-Mar-10,Xuan Wang; Ankit Pahwa; Mary T Bausch-Jurken; Anushri Chitkara; Pawana Sharma; Mia Malmenäs; Sonam Vats; Michael Gordon Whitfield; Kira Zhi Hua Lai; Priyadarsini Dasari; Ritu Gupta; Maria Nassim; Nicolas Van de Velde; Nathan Green; Ekkehard Beck,"ICON plc, Stockholm, Sweden.; ICON plc, Bengaluru, India.; Moderna, Inc., Cambridge, MA, USA.; ICON plc, Bengaluru, India.; ICON plc, London, UK.; ICON plc, Stockholm, Sweden.; ICON plc, Bengaluru, India.; ICON plc, London, UK.; ICON plc, Toronto, ON, Canada.; ICON plc, Blue Bell, PA, USA.; ICON plc, Bengaluru, India.; ICON plc, Langen, Germany.; Moderna, Inc., Cambridge, MA, USA.; University College London, London, UK.; Moderna, Inc., Cambridge, MA, USA. Ekkehard.beck@modernatx.com.",Ekkehard.beck@modernatx.com
40062892,"Seroprevalence of SARS-CoV-2 IgG antibodies in children seeking medical care in Seattle, WA June 2020 to December 2022.",2025-Mar-10,Amanda L Adler; Alpana Waghmare; Kirsten Lacombe; Jane A Dickerson; Alexander L Greninger; Melissa Briggs Hagen; Kimberly Pringle; Tarayn Fairlie; Claire M Midgely; Janet A Englund,"Seattle Children's Research Institute, Seattle, Washington, USA.; Seattle Children's Research Institute, Seattle, Washington, USA.; Seattle Children's Research Institute, Seattle, Washington, USA.; Seattle Children's Research Institute, Seattle, Washington, USA.; Department of Laboratory Medicine and Pathology, University of Washington, Seattle, Washington, USA.; Coronavirus and Other Respiratory Viruses Division, Centers for Disease Control and Prevention, Atlanta, USA.; Coronavirus and Other Respiratory Viruses Division, Centers for Disease Control and Prevention, Atlanta, USA.; Coronavirus and Other Respiratory Viruses Division, Centers for Disease Control and Prevention, Atlanta, USA.; Coronavirus and Other Respiratory Viruses Division, Centers for Disease Control and Prevention, Atlanta, USA.; Seattle Children's Research Institute, Seattle, Washington, USA.",N/A
